text_1	text_2	class
Сбербанк третий раз с начала года снизил ставки по вкладам.	"Сияние чистого бизнеса - ""Review Петербургский экономический форум""."	-1
Убийство московского чиновника в Орле было заказным.	В Орле убили московского чиновника.	-1
Нидерланды направляют спасателей в пострадавший от землетрясения Непал	В пострадавшем от землетрясений Непале начались мародерства	-1
Косачев: победа консерваторов в Британии сохранит критику в адрес РФ	Консерваторы победили на выборах в Британии	-1
"Полиция завела уголовное дело на руководство банка ""ТРАСТ"""	Против руководства банка «Траст» возбуждено уголовное дело	1
В борьбу за пост президента США вступил нейрохирург Бен Карсон	Бывший гендиректор HP решила бороться за пост президента США	-1
Председатель сената и премьер Казахстана проголосовали на выборах	Завершилось голосование на выборах президента Казахстана	-1
"Умер бывший солист ""А'Студио"" Батырхан Шукенов"	Бывшего солиста «А'Студио» Батырхана Шукенова похоронят в Казахстане	-1
В Германии проходят парламентские выборы.	В Германии начались парламентские выборы.	1
"Спецпоказ фильма ""Крым. Путь на родину"" устроили в Бейруте"	Доходы богатейших вице-губернаторов Петербурга уменьшились вдвое	-1
В Горячем Ключе погиб мужчина, попав под каток.	Полиция приступила к проверкам всех автомобилей на выезде из Волгограда.	-1
«Жилищный проект»: более 100 мероприятий за 2 дня.	Какой футбол им не нужен - Против чего бразильцы протестуют и за что болеют.	-1
"Минюст: Решение ЕСПЧ может привести к отмене приговора по ""делу ЮКОСа""."	Минюст назвал решение ЕСПЧ основанием для пересмотра приговора Ходорковскому.	-1
СМИ: силы арабской коалиции вошли в Аден на юге Йемена	Вооруженные силы коалиции вошли в йеменский город Аден	1
Парламент Ливии временно прекратил работу.	Ливийский парламент приостановил работу.	1
В Алма-Ате при столкновении поездов пострадали 50 пассажиров.	В Алма-Ате столкнулись два пассажирских поезда.	-1
Директором Театра на Таганке станет В.Флейшер.	Владимир Путин за год не изменился.	-1
Рогозин пообщается со строителями космодрома Восточный	Строители космодрома «Восточный» снова объявили голодовку	-1
"СМИ: Закрытый ""список Магнитского"" будет расширен наряду с основным."	"Кто вошел в ""антисписок Магнитского""."	-1
"Из денег, выделенных на ""Зенит-Арену"", украдена почти половина."	В Москве прошли обыски по делу о новгородских дорогах.	-1
"От сумы и от тюрьмы: история успеха ""небизнесмена"" С.Полонского."	Депутата объявили в розыск по делу о хищении 1,5 миллиардов рублей.	-1
К концу 2013 года российская армия перейдет на носки.	Сергей Карякин взялся за свое.	-1
Минобрнауки предлагает выплачивать усыновителям инвалидов 100 тыс. руб.	Минобрнауки предложило увеличить выплаты усыновителям инвалидов.	1
В Нью-Йорке из-за непогоды отменили все авиарейсы.	Из-за снежной бури в Нью-Йорке отменили все авиарейсы.	1
На саратовского дебошира с борта самолета Москва - Хургада заведено дело.	По факту дебоша в самолете Москва-Хургада завели дело.	1
Эксперт: К выборам 2016г. модель публичной политики в России будет иной.	Молдавия развивает ассоциативные способности - Власти хотят подать заявку на вступление в Евросоюз в 2015 году.	-1
Бывшего президента Египта Мурси приговорили к 20 годам тюрьмы	США обеспокоены приговором бывшему президенту Египта Мурси	-1
Стресс приводит к болезни Альцгеймера.	Министр финансов Кипра отправится на переговоры в Москву.	-1
Владислав Сурков вернулся на работу в Кремль.	Сергей Иванов тоже не хочет в президенты.	-1
РФ подумает о помощи Кипру, когда республика договорится с кредиторами.	Кипр договорился с кредиторами о реструктуризации Laiki Bank.	-1
Более 200 человек погибли, 400 ранены из-за землетрясения в Непале	Топ-менеджер Google погиб на Эвересте после землетрясения в Непале	-1
Афтершоки от землетрясения в Непале достигли столицы Индии	Недалеко от столицы Непала произошло землетрясение магнитудой 5,6	-1
Самолеты МЧС вылетят за россиянами в Непал этой ночью	Борт МЧС с эвакуированными из Непала россиянами вылетел в Москву	-1
Власти Балтимора отменили комендантский час в городе	Власти Балтимора отменили комендантский час	1
"Вице-президент ""Сколково"" отстранен от работы из-за уголовного дела."	Фигуранта дела о выплатах Пономареву отстранили от работы в «Сколково».	-1
Девять человек погибли при взрыве у автомобиля ООН в Сомали	В Сомали взорвали автобус миссии ООН, 9 человек погибли	1
Новосибирская ГЭС включена в энергосхему России.	Новые «Голодные игры» стали лидером российского проката.	-1
Консульство РФ: россиян на горящем у берегов Греции пароме нет	Россиян на горящем у берегов Греции пароме нет	1
Победителем кинофестиваля в Локарно стал фильм о Казанове.	Победителем фестиваля в Локарно стал фильм о Казанове.	1
На министра внутренних дел Египта совершено покушение.	В Египте совершено покушение на министра внутренних дел.	1
Более 20 человек погибли в результате трех взрывов в Афганистане	Жертвами трех взрывов в Афганистане стали более 20 человек	1
Бердыев: Проиграли из-за беспредела судьи.	«Рубин» проиграл «Томи» в девятом туре чемпионата России.	-1
Альпинист из Рязани разбился на Эльбрусе	На Эльбрусе погиб турист из Рязани	1
Оппозиционеры подали вторую заявку на марш в годовщину Болотной.	Организаторы массовых беспорядков подошли к прениям - Завершено судебное следствие в рамках «болотного дела».	-1
В горах Пакистана пропала группа российских туристов.	В горах Пакистана пропали российские туристы.	1
Разница в цене на квартиры разного класса в Петербурге может достигать 50%.	"Длинные деньги на рынке жилья - территории - ""Review Петербургский экономический форум""."	-1
Из-за фирм-однодневок бюджет РФ теряет 1 трлн руб. в год.	Потери бюджета от фирм-однодневок оценили в триллион рублей.	1
Корреспондента российского телеканала ранили в пригороде Дамаска.	В Сирии ранили корреспондента российского телеканала.	1
Кадыров разрешил стрелять по участникам несогласованных с Чечней операций	Кремль ознакомится со словами Кадырова об операции силовиков в Чечне	-1
Генерал-лихач отделался условным сроком за разбитый истребитель Су-27.	Генералу дали условный срок за разбитый Су-27.	1
Папа Римский Франциск пересел с трона в обычное кресло.	Папа Франциск заменил свой трон креслом.	1
В Сирии начали уничтожать химическое оружие.	В Сирии началась ликвидация химического оружия.	1
США ввели новую систему контроля за полетами гражданских самолетов	Экономящая топливо система управления полетами введена в США	-1
Скончалась балерина Майя Плисецкая	Андрис Лиепа: Майя Плисецкая была уникальнейшей балериной	-1
Прибившего себя к Красной площади питерца будут судить за хулиганство.	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
Президент Египта примет участие в торжествах 9 Мая в Москве	Франция определилась с уровнем представительства на 9 Мая в Москве	-1
"""Единая Россия"" сохранила звание самой состоятельной партии."	"Звание самой богатой партии сохранила за собой ""Единая Россия""."	1
Россия может поделиться с США своими ледоколами.	СМИ сообщили о подготовке нападения «Хизбаллы» на Израиль.	-1
Нефть Brent подорожала почти до $69 за баррель	Цена на нефть поднялась выше $69 впервые с начала года	-1
В столице Малави молния убила восемь прихожан.	В столице Малави восемь прихожан убило молнией.	1
"Рогозин о танке ""Армата"": красавец"	"Дмитрий Рогозин назвал красавцем новый танк Т-14 ""Армата"""	1
"Питерский СКА выиграл у московского ""Динамо"" в матче Кубка Гагарина."	Московское «Динамо» вышло в финал Кубка Гагарина.	-1
Руководство крупнейшего порта Сахалина подозревают в хищении 140 млн руб.	Руководство Корсаковского порта заподозрили в хищении 140 миллионов рублей.	1
Партии определились с кандидатами на пост глав Дагестана и Ингушетии.	Партии определились с кандидатами в главы Ингушетии и Дагестана.	1
Пассажиры сошедшего с рельсов поезда на Кубани доставлены в Сочи.	Пассажиры сошедшего с рельсов на Кубани поезда отправлены в Адлер.	-1
Полиция насчитала 2,5 тыс. участников акции в центре Москвы.	Полиция насчитала 2,5 тысячи участников акции в поддержку Навального.	-1
Тело российского бизнесмена нашли в колодце абхазского села.	В колодце абхазского села нашли убитого российского бизнесмена.	1
В московском метро проверят информацию о зажатом дверями пассажире	В московском метро поезд протащил зажатого дверьми мужчину целый перегон	-1
"СК не стал возбуждать дело о смерти подрывника ""Невского экспресса""."	СК отказался возбуждать дело о смерти подрывника «Невского экспресса».	1
Москвичам обещают автобусы с держателями велосипедов.	В Москве появятся автобусы с держателями для велосипедов.	1
МЧС опубликовало фото с места пожара в интернате под Новгородом.	Пожар в психоневрологическом интернате под Новгородом потушили.	-1
ФСИН: Савченко переведена из гражданской больницы обратно в СИЗО	Надежду Савченко вернули из больницы в СИЗО	1
"Власти Москвы запретили шествовать в поддержку ""узников Болотной""."	Мэрия Москвы объяснила отказ согласовать марш за «узников 6 мая».	-1
"""Библиотечка ""РГ"": Путешествие в Европу на автомобиле."	Трейлер к новому «Стартреку» пересняли в Lego.	-1
Со строек саммита АТЭС похищен металл почти на 100 млн руб.	При строительства моста на саммит АТЭС похитили металл на 96 миллионов.	1
МИД: Никто из россиян не погиб при крушении парома в Таиланде.	Число погибших при крушении таиландского парома россиян возросло.	-1
Парламент Франции разрешил грубить президенту страны.	Парламент Франции разрешил грубить президенту.	1
Парламентские выборы в Германии.	В Германии начались парламентские выборы.	-1
В Ватикане начались выборы нового Папы Римского.	В Ватикане начались выборы нового папы.	1
Закрытое небо: Израильская политика по отношению к России закончилась плевком в лицо	СПЧ: автомобилисты жалуются Путину на тему парковок и эвакуации	-1
Скандал после ЕГЭ: в Ставрополе увольняются врачи детской больницы.	Работники ставропольской больницы передумали увольняться из-за скандала с ЕГЭ.	-1
Госдума обязала родственников террористов возмещать ущерб.	Госдума обязала родственников террористов расплачиваться за теракты.	1
"Юрий Шевчук выступит в поддержку ""узников Болотной""."	Шевчук выступит на концерте в поддержку фигурантов «болотного дела».	1
В Киеве на железнодорожной станции обвалился перрон с пассажирами.	На станции в Киеве обвалился перрон с людьми.	1
Андрей Кириленко пропустит три матча НБА из-за проблем со спиной.	Андрей Кириленко из-за проблем со спиной пропустит три матча чемпионата НБА.	1
Украина отменила поезда и автобусы в Крым	Беларусь отменила поезд в Крым вслед за Украиной	-1
"В Петербурге ""черные риэлторы"" из МВД похитили человека."	Пятеро петербургских полицейских оказались «черными риелторами».	-1
В Иркутской области 350 заключенных колонии нанесли себе порезы.	350 заключенных колонии для бывших силовиков нанесли себе порезы.	-1
Выставку Тициана в Москве продлили на три дня.	Не время для убытков.	-1
"Скончался ведущий радиостанции ""Эхо Москвы"" Борис Алексеев."	Умер ведущий «Эха Москвы» Борис Алексеев.	1
"Студентка из Екатеринбурга выиграла конкурс ""Мисс Россия-2015"""	"""Мисс Россия-2015"" стала студентка из Екатеринбурга"	1
Американец выиграл в лотерею за 100 евро картину П.Пикассо.	Житель Пенсильвании выиграл в лотерею картину Пикассо.	1
"Путин: реализация ""майских указов"" оценивается по изменениям в жизни"	Путин допустил корректировку майских указов	-1
ООН: более 6,6 млн человек пострадали от землетрясения в Непале	Число жертв землетрясения в Непале превысило 2260 человек	-1
"Верхняя палата парламента Египта признана ""неконституционной""."	Верхнюю палату египетского парламента признали неконституционной.	1
Сирийская оппозиция перенесла выборы временного правительства.	Националисты отказали Верховной Раде в дееспособности.	-1
Начальник полиции Нурлатского района РТ отстранен после хулиганских драк в городе.	Какой футбол им не нужен - Против чего бразильцы протестуют и за что болеют.	-1
В Анапе к 2014 г. построят новую сеть фонтанов.	Модный дом проверят на массовость.	-1
В Кремле затруднились оценить идею об ограничении иностранной валюты	В Центробанке высказались против ограничения использования иностранной валюты	-1
"Сочи-2014: на олимпийские медали нанесли орнамент ""лоскутного одеяла""."	На медалях Олимпиады в Сочи изобразили лоскутное одеяло.	1
Юрий Вяземский: Моя свобода заключается в моей работе.	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
ФБР раскрыло крупнейшую музейную кражу в истории.	ФБР раскрыло крупнейшее ограбление музея в истории.	1
Башкортостан расширяет сотрудничество с предприятиями дорожного комплекса США.	Песков заявил о необходимости новой перезагрузки отношений России и США.	-1
"Генпрокуратура не имеет претензий к руководству ""Сколково""."	Генпрокуратура сняла претензии к «Сколково».	1
Скончалась балерина Майя Плисецкая	"Ушла из жизни ""рожденная танцевать"" Майя Плисецкая"	1
На чилийского политика подали в суд за покушение на Пиночета.	Как Михаил Саакашвили пришел к власти.	-1
Экс-мэр Владивостока госпитализирован в Москве после нападения.	Граница на рубле.	-1
Разговор Путина с Россией — в режиме реального времени	Путин: Россия со временем решит вопрос о пенсионном возрасте	-1
Сергея Удальцова посадили под домашний арест.	Суд санкционировал домашний арест Удальцова.	1
Глава Ермолино уволен из-за гибели ребенка от упавшей сосульки.	Главу города уволили после гибели ребенка от упавшей сосульки.	1
МЧС ДНР: работы по сбору обломков на месте крушения Boeing завершены	На месте падения «Боинга» в Донбассе завершен сбор обломков	1
В районах Татарстана открываются штабы по борьбе с саранчой.	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
Украинская милиция ни в чем не обвиняет «ВКонтакте».	Украинская милиция изъяла серверы «ВКонтакте».	-1
Корабли отправили тушить пожар в офисном здании на набережной в Москве	Пожар в офисном здании в центре Москвы удалось локализовать	-1
Легендарный исполнитель соул-музыки Бен Кинг скончался в США	В США умер легендарный певец, исполнитель песни Stand By Me Бен Кинг	1
США получат $1,4 млрд за аварию на нефтяной платформе в Мексиканском заливе.	Владелец платформы Deepwater Horizon оштрафован на 1,4 миллиарда долларов.	1
При взрыве на вокзале в Волгограде погиб пермяк.	Очевидцы рассказали о взрыве на вокзале Волгограда.	-1
ОСК может обратиться в ФНБ за средствами для строительства верфи на Дальнем Востоке.	Навальный выступил с последним словом.	-1
Йеменское командование: военная операция арабской коалиции провалилась	Арабская коалиция атаковала Йемен после объявления о завершении операции	-1
Мария Шарапова выиграла турнир WTA в Штутгарте.	Мария Шарапова расширила автопарк.	-1
Мэр Калининграда рассказал о вилле своей жены.	У супруги мэра Калининграда нашлась вилла в Канне.	-1
Рауль Кастро переизбран председателем Госсовета Кубы.	Рауль Кастро переизбран главой Кубы.	1
Режиссера «Бригады» задержали по делу о растрате.	Подозреваемого в растрате режиссера «Бригады» попытались освободить силой.	-1
Россия намерена поставить Сирии более 10 самолетов МиГ-29.	На чем ездят российские чиновники и депутаты.	-1
"Маркин: Васильева сможет реализовать свой потенциал в жанре ""шансон"""	"Маркин посоветовал Васильевой реализовать себя в жанре ""шансон"""	1
Все подчиненные Е.Урлашова пошли на сделку со следствием.	Фаррелл подал в суд на will.i.am за фразу «I Am».	-1
Несмотря на приглашение в Москву, глава КПУ отметит 9 мая в Киеве	Ислам Каримов посетит Москву 9 мая	-1
Пожар на территории посольства России в Астане ликвидирован	В результате пожара в посольстве РФ в Астане никто не пострадал	-1
Судьи верховных судов предпочли отставку переезду в Петербург.	Семь судей Высшего арбитражного суда ушли в отставку.	-1
"""Роснефть"" и ""Транснефть"" расширят трубу в Китай."	«Роснефть» и «Транснефть» договорились о трубе в Китай.	-1
Путин поручит Генпрокуратуре разобраться с качеством бензина на АЗС	Путин поручит Генпрокуратуре разобраться с низким качеством бензина	1
Полиция Франции взяла под охрану племянника Ким Чен Ына.	Племянник Ким Чен Ына пропал во Франции.	-1
Землетрясение магнитудой 3,9 произошло на северо-востоке Японии	Землетрясение магнитудой 5,9 зафиксировано в Новой Зеландии	-1
Суд запретил сеять горох возле аэропорта Барнаула.	Суд запретил выращивать горох около аэропорта Барнаула.	1
Нобелевскую премию мира получит Организация по запрещению химоружия.	Нобелевскую премию мира присудили борцам с химоружием.	1
Главврач роддома во Владикавказе попалась на продаже младенца.	Главврач владикавказского роддома задержана при попытке продажи ребенка.	1
Профсоюзы раскритиковали идею о запрете курилок на работе.	Депутаты защитят граждан от банков и страховщиков - В первом чтении принят закон о финансовом уполномоченном.	-1
"Дело ""Оборонсервиса"": обыски начались в ИД ""Красная звезда""."	"ИД ""Красная звезда"" опроверг информацию об обыске."	-1
Минюст Эстонии предложил сажать за курение во время беременности.	В Эстонии предложили сажать за курение во время беременности.	1
Рябков: решения по санкциям против Ирана не будут приняты в обход РФ	Рябков заявил о продвижении по вопросу снятия санкций с Ирана	-1
Архивы: Решение будет принято через неделю?	ЕК намерена выделить Украине еще 70 млн евро на новый саркофаг на ЧАЭС	-1
Британцы считали А.Гитлера полезным из-за его ошибок.	Индустрия так и не проснулась.	-1
Intel назвал имя нового гендиректора.	В Intel назвали имя нового гендиректора.	1
Полицейский начальник получил срок за издевательство.	У полиции проверят местные полномочия.	-1
Европарламент одобрил проект резолюции об усилении санкций против России	Комитет Европарламента одобрил резолюцию об ужесточении антироссийских санкций	1
"Автор законов об ""иностранных агентах"" и митингах лишился поста в ОНФ."	"Автор законов о митингах и ""иностранных агентах"" лишился поста в ОНФ."	1
Интерпол: Запрос на розыск С.Керимова получен.	Интерпол опроверг международный розыск Сулеймана Керимова.	-1
Глава Генштаба Украины отмечает в целом стабильную ситуацию в Донбассе	Начальник Генштаба Украины оценил ситуацию в Донбассе	-1
Суд приступил к слушаниям по делу о ДТП на проспекте Вернадского.	Минюст опроверг претензии Генпрокуратуры из-за проверки НКО.	-1
На сотрудника ГИБДД завели дело за домогательства к подчиненной.	"""Союзмультфильм"" не дается в частные руки."	-1
Спасатели опоздали на пожар в Раменском из-за перекрытой переправы.	Спасатели опоздали на пожар в Раменском из-за закрытой переправы.	1
Обстрел Донецка носил разведывательный характер, считает Пургин	ДНР: Обстрел Донецка носил разведывательный и отвлекающий характер	1
Законопроект о досудебной блокировке сайтов прошел первое чтение.	Закон о досудебной блокировке сайтов принят в первом чтении.	1
Счетная палата проверит Сбербанк, но только после Олимпиады.	Счетная палата проверит турецкую покупку Сбербанка.	-1
В Хабаровском крае Ан-2 аварийно сел в лесополосе: 5 пострадавших.	Пять человек пострадали при жесткой посадке Ан-2 в Хабаровском крае.	1
Росавиация разрешила Red Wings вернуться в небо.	Росавиация вернула лицензию авиакомпании Red Wings.	1
На бельгийской автостоянке застрелили снежного барса.	Принуждение к авторскому миру.	-1
Египетская армия зачищает центр Каира: есть жертвы.	Создателя «Невинности мусульман» отпустили из тюрьмы.	-1
Пострадавших от паводка освободят от призыва в армию.	Пострадавших от паводка освободят от службы в армии.	1
Прокуратура Краснодарского края проверит фестиваль Kubana.	Сбежавшую из цирка зебру нашли на островке безопасности.	-1
Экс-мэр Владивостока госпитализирован в Москве после нападения.	Граница на рубле.	-1
Компания Диснея отказалась от эксклюзивного контракта с Брукхаймером.	Увольнение по разногласию сторон.	-1
Определился состав сборной России по спортивной гимнастке на ЧМ.	В сборной России по спортивной гимнастике есть вакансии.	-1
Уволен еще один заместитель руководителя Росреестра.	Украина станет ассоциированным членом ЦЕРН.	-1
Еще одно землетрясение магнитудой 5,6 произошло в Непале	Недалеко от столицы Непала произошло землетрясение магнитудой 5,6	1
В Самарской области на военных складах прогремели взрывы.	Из-за взрывов в Самарской области начали эвакуацию населения.	-1
СМИ: вооруженные столкновения в Бурунди унесли жизни трех человек	Жертвами вооруженных столкновений в Бурунди стали три человека	1
Норвегия увеличивает налоги с нефтяной отрасли.	Норвегия задумала повысить налоги на нефтяников.	1
В московском клубе сорвали концерт таджикских рэперов.	Что он нам сделал?	-1
Минобороны РФ впервые опубликовало фото новейших образцов техники	Минобороны впервые опубликовало фотографии новейшей военной техники	1
Число погибших в Индии после землетрясения в Непале превысило 50	Число жертв землетрясения в Непале превысило три тысячи человек	-1
В Подмосковье единый билет на общественный транспорт появится в 2014г.	В Подмосковье введут единый билет на общественный транспорт.	1
Одесса готовится к двухдневному празднованию 70-летия Победы	ЛНР пригласила Барака Обаму на празднование 70-летия Победы	-1
Власти Москвы вернут мемориальную доску на дом Л.Брежнева.	На доме Брежнева в Москве восстановят мемориальную доску.	1
Посол: Президент Венесуэлы может посетить Москву 9 мая	Госдеп разъяснил позицию по празднованию 9 мая в Москве	-1
Посольство РФ в Кабуле подтвердило данные об одном российском пленнике.	МИД РФ подтвердил захват талибами россиянина.	-1
"Минобороны объявило ""большую охоту"" на программистов."	Шойгу объявил охоту на программистов для научных рот.	-1
Четыре человека погибли в Непале в результате землетрясения	Число погибших от землетрясения в Непале превысило 1800	-1
"Украинские оппозиционеры попытались расформировать ""Беркут""."	Украинская оппозиция попыталась расформировать «Беркут».	1
Убийца из Белгорода ответит за ранение полицейского.	Полиция раскрыла подробности задержания убийцы из Белгорода.	-1
Иркутск готовится к чемпионату мира по хоккею с мячом.	Задержанные за наркотики казанские полицейские остались на службе.	-1
В Кремле появится управление по борьбе с коррупцией.	Скидки на газ привяжут к географии.	-1
"На месте взрыва в шахте ""Воркутинская"" было 17 человек."	МЧС опубликовало список погибших на шахте «Воркутинская».	-1
К охоте на нелегалов подключились российские регионы.	Развитые экономики оказались важнее развивающихся для роста мирового ВВП.	-1
Столица Непала частично разрушена в результате мощного землетрясения	СМИ сообщили о более 150 погибших в результате землетрясения в Непале	-1
"Ирина Прохорова возглавила партию ""Гражданская платформа""."	Партию Прохорова возглавила его сестра.	1
Путин заявил об отсутствии информации о заказчиках убийства Немцова	Путин заявил об отсутствии имперских амбиций у России	-1
Защита Ходорковского продолжит добиваться отмены второго приговора.	В Михаиле Ходорковском находят больше общественного, чем политического.	-1
В теракте в Найроби участвовали трое американцев.	В Найроби задержаны 10 предполагаемых террористов.	-1
Сергей Собянин зарегистрирован кандидатом в мэры Москвы.	Навального зарегистрируют кандидатом в мэры Москвы накануне приговора.	-1
КНДР запустила четвертую ракету за последние два дня.	КНДР запустила четвертую ракету за два дня.	1
В Казани разбился пассажирский Boeing: погибли 50 человек.	В Сети появились неофициальные списки жертв авиакатастрофы.	-1
К концу 2013г. объем впустую сжигаемого газа должен сократиться вдвое.	Samsung показала два новых планшета на Android.	-1
Янукович объявил о вступлении Украины в ТС на правах наблюдателя.	Выйти из танцполья - На Каннском кинофестивале показали фильм Кена Лоуча, посвященный одному из лидеров ирландской Компартии.	-1
Нарышкин: пришло время для консультаций об интеграции Евросоюза и ЕАЭС	Нарышкин: Пришло время для консультаций об интеграции ЕС и ЕАЭС	1
Сильный взрыв в Праге: 55 пострадавших.	Число пострадавших от взрыва в Праге возросло до 55.	1
"Участник драки у ТЦ ""Европейский"" получил 8 лет колонии."	Прокурор попросил 14 лет для участника драки у «Европейского».	-1
Аэропорт Домодедово назвал своего настоящего владельца.	Аэропорт «Домодедово» раскрыл конечных собственников.	1
В ЦУМе украли эксклюзивное кольцо за 15 млн рублей.	Олег Кичиков: Все управляющие компании в Москве сейчас честные.	-1
"Замдиректора ""Кировлеса"" дала показания против Алексея Навального."	Замдиректора «Кировлеса» дала показания против Навального.	1
СМИ: Взрыв в Тель-Авиве - попытка ликвидации криминального авторитета.	"Взрыв в Тель-Авиве был покушением на криминального ""авторитета""."	1
"Ущерб по делу ""Оборонсервиса"" снизился в шесть раз, сообщил прокурор"	Суд снизил сумму ущерба по делу Евгении Васильевой в шесть раз	1
В московском отделе полиции повесился задержанный.	В московском ОВД повесился задержанный.	1
"Корреспонденты ""РГ"" во время эпидемии гриппа не смогли попасть к врачу."	ГИБДД начала «сплошные» проверки водителей на трезвость.	-1
Убийцу главы МВД Дагестана посадили на 15 лет.	Убийца главы МВД Дагестана получил 15 лет.	1
Авиакатастрофа в Перу унесла жизни семи человек.	При крушении вертолета в Перу погибли семь человек.	1
Делегация палестинских переговорщиков с Израилем ушла в отставку.	Палестинская делегация на переговорах с Израилем ушла в отставку.	1
